Query,COG Category,GO terms
#query,COG_category,GOs
fig|195.2030.peg.851,P,-
fig|195.2030.peg.717,S,-
fig|195.2031.peg.1834,M,-
fig|195.2031.peg.1096,S,-
fig|195.2031.peg.900,U,-
fig|195.2031.peg.1546,S,-
fig|195.2031.peg.444,U,-
fig|195.2031.peg.1508,C,-
fig|195.2031.peg.1832,S,-
fig|195.2031.peg.899,U,-
fig|195.2031.peg.1244,S,-
fig|195.2031.peg.642,M,-
fig|195.2031.peg.1550,K,-
fig|195.2031.peg.641,V,-
fig|195.2031.peg.1798,M,-
fig|195.2031.peg.1788,S,-
fig|195.2031.peg.1753,M,"GO:0003674,GO:0003824,GO:0004553,GO:0005975,GO:0008150,GO:0008152,GO:0009058,GO:0016051,GO:0016787,GO:0016798,GO:0044238,GO:0071704,GO:1901576"
fig|195.2031.peg.951,-,-
fig|195.2031.peg.1196,O,-
fig|195.2031.peg.1761,Q,-
fig|195.2031.peg.1398,C,-
fig|195.2031.peg.1839,S,-
fig|195.2031.peg.763,M,-
fig|195.2031.peg.1559,S,-
fig|195.2031.peg.443,-,-
fig|195.2031.peg.447,J,-
fig|195.2031.peg.748,-,-
fig|195.2031.peg.1706,H,-
fig|195.2031.peg.1793,L,-
fig|195.2031.peg.1221,L,-
fig|195.2031.peg.448,L,-
fig|195.2031.peg.1549,J,-
fig|195.2031.peg.495,S,-
fig|195.2031.peg.1547,S,-
fig|195.2031.peg.645,S,-
fig|195.2031.peg.644,Q,"GO:0003674,GO:0003824,GO:0005575,GO:0005576,GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009698,GO:0009699,GO:0009719,GO:0009725,GO:0009735,GO:0009808,GO:0009809,GO:0009987,GO:0010033,GO:0016491,GO:0016614,GO:0016616,GO:0019438,GO:0019748,GO:0042221,GO:0044237,GO:0044249,GO:0044550,GO:0045551,GO:0048046,GO:0050896,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901576"
fig|195.2031.peg.1558,S,-
fig|195.2031.peg.950,-,-
fig|195.2031.peg.1538,S,-
fig|195.2031.peg.1557,-,-
fig|195.2031.peg.1751,M,-
fig|195.2031.peg.1554,J,-
fig|195.2031.peg.952,S,-
fig|195.2031.peg.1653,S,-
fig|195.2031.peg.1040,P,-
fig|195.2031.peg.1673,L,-
fig|195.2031.peg.1551,S,-
fig|195.2031.peg.1548,S,-
fig|195.2031.peg.1835,-,-
fig|195.2031.peg.358,M,-
fig|195.2031.peg.1833,S,-
fig|195.2031.peg.1553,F,-
fig|195.2031.peg.357,M,-
fig|195.2031.peg.1829,-,-
fig|195.2031.peg.1204,S,-
fig|195.2031.peg.1806,-,-
fig|195.2031.peg.1560,L,-
fig|195.2031.peg.1084,S,-
fig|195.2031.peg.1750,M,"GO:0003674,GO:0003824,GO:0004553,GO:0005975,GO:0008150,GO:0008152,GO:0009058,GO:0016051,GO:0016787,GO:0016798,GO:0044238,GO:0071704,GO:1901576"
fig|195.2031.peg.1795,L,-
fig|195.2031.peg.1752,J,-
fig|195.2031.peg.1775,S,-
fig|195.2031.peg.1545,Q,-
fig|195.2031.peg.1672,M,-
fig|195.2031.peg.1811,-,-
fig|195.2031.peg.1830,S,-
fig|195.2031.peg.1313,S,-
fig|195.2031.peg.1256,L,-
fig|195.2031.peg.1250,C,-
fig|195.2031.peg.1058,S,-
fig|195.2031.peg.1552,S,-
fig|195.2031.peg.1826,-,-
fig|195.2031.peg.494,S,-
fig|195.2031.peg.1799,M,-
fig|195.2031.peg.156,E,-
fig|195.2031.peg.1796,S,-
fig|195.2031.peg.1094,K,-
fig|195.2031.peg.1763,J,-
fig|195.2031.peg.449,L,-
fig|195.2032.peg.1564,S,-
fig|195.2032.peg.1590,T,-
fig|195.2032.peg.1251,H,-
fig|195.2032.peg.1722,H,-
fig|195.2032.peg.1703,E,-
fig|195.2032.peg.1485,F,-
fig|195.2032.peg.1223,EGP,-
fig|195.2032.peg.1320,-,-
fig|195.2032.peg.1704,S,-
fig|195.2032.peg.1806,S,-
fig|195.2032.peg.840,S,-
fig|195.2032.peg.1338,U,-
fig|195.2032.peg.1535,M,-
fig|195.2032.peg.1314,-,-
fig|195.2032.peg.1827,-,-
fig|195.2032.peg.1623,S,-
fig|195.2032.peg.1503,L,-
fig|195.2032.peg.1705,Q,-
fig|195.2032.peg.1486,F,-
fig|195.2032.peg.1351,U,-
fig|195.2032.peg.1563,S,-
fig|195.2032.peg.1708,P,-
fig|195.2032.peg.554,V,-
fig|195.2032.peg.1707,H,-
fig|195.2032.peg.1343,S,-
fig|195.2032.peg.1770,M,-
fig|195.2032.peg.1737,Q,-
fig|195.2032.peg.1749,S,-
fig|195.2032.peg.1646,L,-
fig|195.2032.peg.1738,-,-
fig|195.2032.peg.913,S,-
fig|195.2032.peg.1020,I,-
fig|195.2032.peg.1355,M,-
fig|195.2032.peg.1432,M,-
fig|195.2032.peg.405,V,-
fig|195.2032.peg.1588,E,-
fig|195.2032.peg.1333,L,-
fig|195.2033.peg.186,E,-
fig|195.2033.peg.1981,-,-
fig|195.2033.peg.1170,U,-
fig|195.2033.peg.117,G,-
fig|195.2033.peg.2022,S,-
fig|195.2033.peg.865,-,-
fig|195.2033.peg.1716,S,"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0006139,GO:0006401,GO:0006402,GO:0006412,GO:0006415,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0016043,GO:0016070,GO:0016071,GO:0016787,GO:0016788,GO:0019222,GO:0019439,GO:0019538,GO:0022411,GO:0032984,GO:0034641,GO:0034645,GO:0034655,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0046483,GO:0046700,GO:0048519,GO:0050789,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1901361,GO:1901564,GO:1901566,GO:1901575,GO:1901576"
fig|195.2033.peg.969,S,-
fig|195.2033.peg.1897,-,-
fig|195.2033.peg.297,NT,-
fig|195.2033.peg.1769,U,-
fig|195.2033.peg.187,-,-
fig|195.2033.peg.1985,-,-
fig|195.2033.peg.2034,S,-
fig|195.2033.peg.1,-,-
fig|195.2033.peg.817,-,-
fig|195.2033.peg.816,-,-
fig|195.2033.peg.1965,S,-
fig|195.2033.peg.98,S,-
fig|195.2033.peg.1722,-,-
fig|195.2033.peg.1968,-,-
fig|195.2033.peg.1135,S,-
fig|195.2033.peg.827,-,-
fig|195.2033.peg.2030,S,-
fig|195.2033.peg.1855,M,-
fig|195.2033.peg.1756,U,-
fig|195.2033.peg.1694,S,-
fig|195.2033.peg.34,K,-
fig|195.2033.peg.1987,S,-
fig|195.2033.peg.1751,L,-
fig|195.2033.peg.302,C,-
fig|195.2033.peg.2037,C,-
fig|195.2033.peg.1763,U,-
fig|195.2033.peg.1967,S,-
fig|195.2033.peg.300,C,-
fig|195.2033.peg.1867,S,-
fig|195.2033.peg.1759,NU,-
fig|195.2033.peg.276,C,"GO:0005575,GO:0005623,GO:0042597,GO:0044464"
fig|195.2033.peg.2039,S,-
fig|195.2033.peg.301,C,-
fig|195.2033.peg.2025,K,-
fig|195.2033.peg.1910,S,-
fig|195.2033.peg.1685,L,-
fig|195.2033.peg.1752,U,-
fig|195.2033.peg.713,-,-
fig|195.2033.peg.2042,Q,-
fig|195.2033.peg.1768,-,-
fig|195.2033.peg.1733,S,-
fig|195.2033.peg.184,M,-
fig|195.2033.peg.2020,S,-
fig|195.2033.peg.2026,S,-
fig|195.2033.peg.1740,-,-
fig|195.2033.peg.144,IQ,-
fig|195.2033.peg.705,LU,-
fig|195.2033.peg.1034,S,-
fig|195.2033.peg.113,S,-
fig|195.2033.peg.2045,S,-
fig|195.2033.peg.1749,L,-
fig|195.2033.peg.1764,U,-
fig|195.2033.peg.2003,S,-
fig|195.2033.peg.1869,S,-
fig|195.2033.peg.235,U,-
fig|195.2033.peg.196,M,-
fig|195.2033.peg.2038,NT,-
fig|195.2033.peg.185,M,-
fig|195.2033.peg.1900,S,-
fig|195.2033.peg.1717,-,-
fig|195.2033.peg.1829,S,-
fig|195.2033.peg.275,U,-
fig|195.2033.peg.298,P,-
fig|195.2033.peg.116,G,-
fig|195.2033.peg.208,P,-
fig|195.2033.peg.1116,V,-
fig|195.2033.peg.415,J,-
fig|195.2033.peg.1699,L,-
fig|195.2033.peg.1970,S,-
fig|195.2033.peg.1687,-,-
fig|195.2033.peg.2027,S,-
fig|195.2033.peg.1766,U,-
fig|195.2033.peg.1955,-,-
fig|195.2033.peg.1736,L,-
fig|195.2033.peg.190,S,-
fig|195.2033.peg.830,-,-
fig|195.2033.peg.189,M,-
fig|195.2033.peg.640,S,-
fig|195.2033.peg.1754,S,-
fig|195.2033.peg.107,K,-
fig|195.2033.peg.922,-,-
fig|195.2033.peg.1942,-,-
fig|195.2033.peg.112,M,-
fig|195.2033.peg.1851,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2033.peg.1696,-,-
fig|195.2033.peg.1959,S,-
fig|195.2033.peg.1731,S,-
fig|195.2033.peg.2005,S,-
fig|195.2033.peg.1991,-,-
fig|195.2033.peg.1948,L,-
fig|195.2033.peg.1758,-,-
fig|195.2033.peg.823,S,-
fig|195.2033.peg.188,S,-
fig|195.2033.peg.1979,C,-
fig|195.2033.peg.371,EG,-
fig|195.2033.peg.2001,S,-
fig|195.2033.peg.1956,S,-
fig|195.2033.peg.1794,S,-
fig|195.2033.peg.1738,D,-
fig|195.2033.peg.1896,S,-
fig|195.2033.peg.1944,S,-
fig|195.2033.peg.1617,G,-
fig|195.2033.peg.1737,-,-
fig|195.2033.peg.181,M,-
fig|195.2033.peg.1767,-,-
fig|195.2033.peg.1899,S,-
fig|195.2033.peg.1976,S,-
fig|195.2033.peg.1775,S,-
fig|195.2033.peg.49,O,-
fig|195.2033.peg.877,S,-
fig|195.2033.peg.1698,U,-
fig|195.2033.peg.1314,-,-
fig|195.2033.peg.312,M,-
fig|195.2033.peg.1992,S,-
fig|195.2033.peg.203,P,-
fig|195.2033.peg.1048,S,-
fig|195.2034.peg.738,G,-
fig|195.2034.peg.1533,S,-
fig|195.2034.peg.542,P,-
fig|195.2034.peg.1208,S,-
fig|195.2034.peg.1521,NT,-
fig|195.2034.peg.83,C,-
fig|195.2034.peg.388,L,-
fig|195.2034.peg.99,M,-
fig|195.2034.peg.105,GM,-
fig|195.2034.peg.660,S,-
fig|195.2034.peg.740,C,-
fig|195.2034.peg.106,E,-
fig|195.2034.peg.632,-,-
fig|195.2034.peg.81,-,-
fig|195.2034.peg.625,E,-
fig|195.2034.peg.652,S,-
fig|195.2034.peg.656,S,-
fig|195.2034.peg.80,S,-
fig|195.2034.peg.18,U,-
fig|195.2034.peg.787,S,-
fig|195.2034.peg.116,M,-
fig|195.2034.peg.19,U,-
fig|195.2034.peg.112,GM,-
fig|195.2034.peg.730,M,-
fig|195.2034.peg.107,-,-
fig|195.2034.peg.742,S,-
fig|195.2034.peg.839,K,-
fig|195.2034.peg.20,U,-
fig|195.2034.peg.741,M,-
fig|195.2034.peg.108,S,-
fig|195.2034.peg.1620,G,-
fig|195.2034.peg.965,S,-
fig|195.2034.peg.1281,V,-
fig|195.2034.peg.744,S,-
fig|195.2034.peg.1536,S,-
fig|195.2034.peg.230,O,-
fig|195.2034.peg.743,G,-
fig|195.2034.peg.1535,S,-
fig|195.2034.peg.1111,L,-
fig|195.2034.peg.400,M,-
fig|195.2034.peg.1610,U,-
fig|195.2034.peg.651,M,-
fig|195.2034.peg.1232,O,-
fig|195.2034.peg.657,S,-
fig|195.2034.peg.998,C,-
fig|195.2034.peg.848,-,-
fig|195.2034.peg.1642,S,-
fig|195.2034.peg.189,S,-
fig|195.2034.peg.1532,S,-
fig|195.2034.peg.745,M,-
fig|195.2034.peg.1466,N,-
fig|195.2034.peg.747,M,-
fig|195.2034.peg.389,L,-
fig|195.2034.peg.746,S,-
fig|195.2034.peg.100,M,-
fig|195.2034.peg.748,M,-
fig|195.2034.peg.640,E,-
fig|195.2034.peg.109,JM,-
fig|195.2034.peg.786,O,-
fig|195.2034.peg.1288,C,-
fig|195.2034.peg.111,EH,-
fig|195.2034.peg.1233,NT,-
fig|195.2034.peg.406,P,"GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944"
fig|195.2034.peg.739,G,-
fig|195.2034.peg.648,Q,-
fig|195.2034.peg.1251,C,-
fig|195.2034.peg.641,E,-
fig|195.2034.peg.788,S,-
fig|195.2034.peg.1520,NT,-
fig|195.2034.peg.114,S,-
fig|195.2034.peg.850,H,"GO:0003674,GO:0003824,GO:0004141,GO:0016874,GO:0016879,GO:0016882"
fig|195.2034.peg.655,S,-
fig|195.2034.peg.113,E,-
fig|195.2034.peg.212,V,-
fig|195.2034.peg.643,D,-
fig|195.2034.peg.279,S,-
fig|195.2034.peg.1459,-,-
fig|195.2034.peg.1383,J,-
fig|195.2034.peg.964,S,-
fig|195.2034.peg.654,N,-
fig|195.2034.peg.556,-,-
fig|195.2035.peg.668,O,-
fig|195.2035.peg.1679,LV,-
fig|195.2035.peg.1573,-,-
fig|195.2035.peg.1570,U,-
fig|195.2035.peg.371,G,-
fig|195.2035.peg.431,E,-
fig|195.2035.peg.1680,LV,-
fig|195.2035.peg.1682,S,-
fig|195.2035.peg.40,H,-
fig|195.2035.peg.1681,LV,-
fig|195.2035.peg.430,E,-
fig|195.2036.peg.1713,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2036.peg.1716,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2036.peg.1557,U,-
fig|195.2036.peg.105,O,-
fig|195.2036.peg.807,M,-
fig|195.2036.peg.717,P,-
fig|195.2036.peg.933,G,-
fig|195.2036.peg.385,EGP,-
fig|195.2036.peg.1140,N,-
fig|195.2036.peg.443,E,-
fig|195.2036.peg.1467,-,-
fig|195.2036.peg.905,I,-
fig|195.2036.peg.453,S,-
fig|195.2036.peg.808,S,-
fig|195.2036.peg.1714,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2036.peg.441,J,-
fig|195.2036.peg.1644,S,-
fig|195.2036.peg.712,P,-
fig|195.2036.peg.813,GM,-
fig|195.2036.peg.440,J,-
fig|195.2036.peg.803,E,-
fig|195.2036.peg.802,F,-
fig|195.2036.peg.815,M,-
fig|195.2036.peg.1141,N,-
fig|195.2036.peg.1556,U,-
fig|195.2036.peg.106,O,-
fig|195.2036.peg.804,M,-
fig|195.2036.peg.817,M,-
fig|195.2036.peg.1224,-,-
fig|195.2036.peg.809,JM,-
fig|195.2036.peg.805,F,-
fig|195.2036.peg.446,J,-
fig|195.2036.peg.816,S,-
fig|195.2036.peg.806,M,-
fig|195.2037.peg.1657,S,-
fig|195.2037.peg.1661,L,-
fig|195.2037.peg.1373,S,-
fig|195.2037.peg.580,E,-
fig|195.2037.peg.1689,S,-
fig|195.2037.peg.1842,P,-
fig|195.2037.peg.1167,I,"GO:0003674,GO:0003824,GO:0004312,GO:0004318,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016043,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0022607,GO:0030497,GO:0032787,GO:0043436,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046394,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055114,GO:0065003,GO:0071704,GO:0071840,GO:0072330,GO:1901576"
fig|195.2037.peg.1870,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2037.peg.1861,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2037.peg.638,S,-
fig|195.2037.peg.1829,I,-
fig|195.2037.peg.1611,S,-
fig|195.2037.peg.1166,I,"GO:0003674,GO:0003824,GO:0004312,GO:0004318,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016043,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0022607,GO:0030497,GO:0032787,GO:0043436,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046394,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055114,GO:0065003,GO:0071704,GO:0071840,GO:0072330,GO:1901576"
fig|195.2037.peg.1662,S,-
fig|195.2037.peg.1830,M,-
fig|195.2037.peg.1376,S,-
fig|195.2037.peg.1810,-,-
fig|195.2037.peg.1660,L,-
fig|195.2037.peg.1841,P,-
fig|195.2038.peg.1466,C,-
fig|195.2038.peg.1336,LV,-
fig|195.2038.peg.493,J,-
fig|195.2038.peg.1883,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2038.peg.1413,G,-
fig|195.2038.peg.1577,G,-
fig|195.2038.peg.1572,C,-
fig|195.2038.peg.1286,S,-
fig|195.2038.peg.1,I,-
fig|195.2038.peg.1234,K,-
fig|195.2038.peg.1833,U,-
fig|195.2038.peg.1517,L,-
fig|195.2038.peg.1516,L,-
fig|195.2038.peg.1242,S,-
fig|195.2038.peg.1349,L,-
fig|195.2038.peg.869,K,-
fig|195.2038.peg.182,E,"GO:0003674,GO:0003824,GO:0005575,GO:0006082,GO:0006520,GO:0006563,GO:0006807,GO:0008150,GO:0008152,GO:0008374,GO:0009001,GO:0009069,GO:0009987,GO:0016020,GO:0016407,GO:0016412,GO:0016413,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0071704,GO:1901564,GO:1901605"
fig|195.2038.peg.135,H,-
fig|195.2038.peg.583,L,-
fig|195.2038.peg.1244,L,-
fig|195.2038.peg.1862,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2038.peg.1235,L,-
fig|195.2038.peg.624,-,-
fig|195.2038.peg.1467,K,-
fig|195.2038.peg.1238,KP,-
fig|195.2038.peg.1233,-,-
fig|195.2038.peg.1514,V,-
fig|195.2038.peg.1465,C,-
fig|195.2038.peg.947,C,-
fig|195.2038.peg.970,J,-
fig|195.2038.peg.916,S,-
fig|195.2038.peg.1703,T,-
fig|195.2038.peg.389,C,-
fig|195.2038.peg.190,G,-
fig|195.2038.peg.580,L,-
fig|195.2038.peg.1106,P,"GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944"
fig|195.2038.peg.1437,G,-
fig|195.2038.peg.841,S,-
fig|195.2038.peg.572,S,-
fig|195.2038.peg.266,S,-
fig|195.2038.peg.1633,E,-
fig|195.2038.peg.1881,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2038.peg.1579,G,-
fig|195.2038.peg.1243,-,-
fig|195.2038.peg.1230,S,-
fig|195.2038.peg.1603,U,-
fig|195.2038.peg.897,I,-
fig|195.2038.peg.1880,S,-
fig|195.2038.peg.1856,C,-
fig|195.2038.peg.1789,Q,-
fig|195.2038.peg.1287,S,-
fig|195.2038.peg.465,P,-
fig|195.2038.peg.1168,S,-
fig|195.2038.peg.746,J,-
fig|195.2038.peg.821,J,-
fig|195.2038.peg.1338,S,-
fig|195.2038.peg.1840,H,-
fig|195.2038.peg.1542,S,-
fig|195.2038.peg.1101,E,-
fig|195.2038.peg.1825,M,-
fig|195.2038.peg.675,F,-
fig|195.2038.peg.896,C,-
fig|195.2038.peg.1685,J,-
fig|195.2038.peg.183,S,-
fig|195.2038.peg.579,L,-
fig|195.2038.peg.388,E,-
fig|195.2039.peg.1765,M,-
fig|195.2039.peg.1608,S,-
fig|195.2039.peg.196,V,-
fig|195.2039.peg.1718,U,-
fig|195.2039.peg.890,C,-
fig|195.2039.peg.955,S,-
fig|195.2039.peg.356,P,-
fig|195.2039.peg.1698,S,-
fig|195.2039.peg.1707,-,-
fig|195.2039.peg.1453,V,-
fig|195.2039.peg.1694,U,-
fig|195.2039.peg.1688,LV,-
fig|195.2039.peg.104,M,-
fig|195.2039.peg.1711,D,-
fig|195.2039.peg.1721,U,-
fig|195.2039.peg.1702,-,-
fig|195.2039.peg.221,S,-
fig|195.2039.peg.963,G,-
fig|195.2039.peg.106,M,-
fig|195.2039.peg.881,-,-
fig|195.2039.peg.1713,L,-
fig|195.2039.peg.1715,L,-
fig|195.2039.peg.1452,Q,-
fig|195.2039.peg.1703,U,-
fig|195.2039.peg.494,S,-
fig|195.2039.peg.1806,S,-
fig|195.2039.peg.1079,O,-
fig|195.2039.peg.1710,-,-
fig|195.2039.peg.1313,V,-
fig|195.2039.peg.1346,S,-
fig|195.2039.peg.1795,S,-
fig|195.2039.peg.1687,LV,-
fig|195.2039.peg.1812,S,-
fig|195.2039.peg.171,G,-
fig|195.2039.peg.1690,U,-
fig|195.2039.peg.102,E,-
fig|195.2039.peg.1301,P,-
fig|195.2039.peg.355,P,-
fig|195.2039.peg.1384,KLT,-
fig|195.2039.peg.1708,OU,-
fig|195.2039.peg.1706,D,-
fig|195.2039.peg.953,M,-
fig|195.2039.peg.1798,E,-
fig|195.2039.peg.1693,S,-
fig|195.2039.peg.1719,-,-
fig|195.2039.peg.1696,U,-
fig|195.2039.peg.349,E,-
fig|195.2039.peg.1186,NT,-
fig|195.2039.peg.100,S,-
fig|195.2039.peg.1656,-,-
fig|195.2039.peg.825,U,-
fig|195.2039.peg.1506,-,-
fig|195.2039.peg.1397,S,-
fig|195.2039.peg.1580,L,-
fig|195.2039.peg.882,S,-
fig|195.2039.peg.1697,U,-
fig|195.2039.peg.1764,M,-
fig|195.2039.peg.101,IM,-
fig|195.2039.peg.880,-,-
fig|195.2039.peg.12,S,-
fig|195.2039.peg.43,G,-
fig|195.2039.peg.1712,U,-
fig|195.2039.peg.1709,D,-
fig|195.2039.peg.105,M,-
fig|195.2039.peg.624,G,-
fig|195.2039.peg.1799,S,-
fig|195.2039.peg.1300,P,-
fig|195.2039.peg.1699,-,-
fig|195.2039.peg.44,G,-
fig|195.2039.peg.954,-,-
fig|195.2039.peg.1503,M,-
fig|195.2039.peg.970,V,-
fig|195.2039.peg.1692,S,-
fig|195.2039.peg.98,M,-
fig|195.2040.peg.1814,U,-
fig|195.2040.peg.40,V,-
fig|195.2040.peg.1512,S,-
fig|195.2040.peg.1787,S,-
fig|195.2040.peg.1528,L,-
fig|195.2040.peg.1050,S,-
fig|195.2040.peg.1529,L,-
fig|195.2040.peg.1795,S,-
fig|195.2040.peg.1098,-,-
fig|195.2040.peg.38,H,-
fig|195.2040.peg.1832,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2040.peg.1097,-,-
fig|195.2041.peg.1733,NT,-
fig|195.2041.peg.1679,S,-
fig|195.2041.peg.1603,S,-
fig|195.2041.peg.1604,S,-
fig|195.2042.peg.1806,N,"GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588"
fig|195.2042.peg.274,NT,-
fig|195.2042.peg.724,M,-
fig|195.2042.peg.1795,-,-
fig|195.2042.peg.1792,S,-
fig|195.2042.peg.1694,S,-
fig|195.2042.peg.1804,L,-
fig|195.2042.peg.1265,S,-
fig|195.2042.peg.1772,U,-
fig|195.2042.peg.403,M,-
fig|195.2042.peg.1813,S,-
fig|195.2042.peg.1785,M,-
fig|195.2042.peg.1095,P,-
fig|195.2042.peg.1717,U,-
fig|195.2042.peg.406,M,-
fig|195.2042.peg.1787,C,-
fig|195.2042.peg.1829,S,-
fig|195.2042.peg.1771,L,-
fig|195.2042.peg.407,V,-
fig|195.2042.peg.1582,J,-
fig|195.2042.peg.620,S,-
fig|195.2042.peg.1783,NT,-
fig|195.2042.peg.1816,L,-
fig|195.2042.peg.402,H,-
fig|195.2042.peg.1777,L,-
fig|195.2042.peg.1788,I,-
fig|195.2042.peg.1103,P,-
fig|195.2042.peg.1819,M,-
fig|195.2042.peg.1102,P,-
fig|195.2042.peg.416,IQ,-
fig|195.2042.peg.1264,S,-
fig|195.2042.peg.1775,L,-
fig|195.2042.peg.1617,C,-
fig|195.2042.peg.408,-,-
fig|195.2042.peg.404,M,-
fig|195.2042.peg.1801,H,"GO:0003674,GO:0003824,GO:0005488,GO:0016829,GO:0016830,GO:0016833,GO:0043167,GO:0043169,GO:0046872,GO:0047777,GO:0050083"
fig|195.2042.peg.814,C,-
fig|195.2042.peg.409,GM,-
fig|195.2042.peg.299,L,-
fig|195.2042.peg.260,G,-
fig|195.2043.peg.1675,C,-
fig|195.2043.peg.692,C,-
fig|195.2043.peg.1674,C,-
fig|195.2044.peg.1596,T,-
fig|195.2044.peg.424,O,-
fig|195.2044.peg.1371,E,-
fig|195.2044.peg.1261,V,-
fig|195.2044.peg.559,S,-
fig|195.2044.peg.1602,P,-
fig|195.2044.peg.1262,V,-
fig|195.2044.peg.871,S,-
