cluster,gene_representative
Cluster 1734,195.2198.peg.1708
Cluster 1735,195.2221.peg.350
Cluster 1736,195.2276.peg.575
Cluster 1737,195.2278.peg.1531
Cluster 1738,195.2311.peg.1742
Cluster 1739,195.2024.peg.994
Cluster 1740,195.2028.peg.30
Cluster 1741,195.2045.peg.1432
Cluster 1742,195.2087.peg.1021
Cluster 1743,195.2120.peg.1352
Cluster 1744,195.2159.peg.1378
Cluster 1745,195.2182.peg.561
Cluster 1746,195.2184.peg.1
Cluster 1747,195.2184.peg.1752
Cluster 1748,195.2185.peg.788
Cluster 1749,195.2238.peg.1761
Cluster 1750,195.2024.peg.1296
Cluster 1751,195.2024.peg.114
Cluster 1752,195.2027.peg.961
Cluster 1753,195.2033.peg.188
Cluster 1754,195.2048.peg.1823
Cluster 1755,195.2057.peg.1677
Cluster 1756,195.2144.peg.1775
Cluster 1757,195.2163.peg.471
Cluster 1758,195.2254.peg.622
Cluster 1759,195.2286.peg.1856
Cluster 1760,195.2288.peg.1797
Cluster 1761,195.2024.peg.1325
Cluster 1762,195.2024.peg.1186
Cluster 1763,195.2026.peg.1791
Cluster 1764,195.2063.peg.679
Cluster 1765,195.2113.peg.368
Cluster 1766,195.2210.peg.411
Cluster 1767,195.2231.peg.311
Cluster 1768,195.2266.peg.818
Cluster 1769,195.2299.peg.1960
Cluster 1770,195.2024.peg.832
Cluster 1771,195.2024.peg.259
Cluster 1772,195.2024.peg.403
Cluster 1773,195.2024.peg.1045
Cluster 1774,195.2024.peg.814
Cluster 1775,195.2033.peg.1759
Cluster 1776,195.2024.peg.381
Cluster 1777,195.2024.peg.354
Cluster 1778,195.2033.peg.208
Cluster 1779,195.2057.peg.648
Cluster 1780,195.2152.peg.916
Cluster 1781,195.2199.peg.1263
Cluster 1782,195.2246.peg.1826
Cluster 1783,195.2024.peg.1003
Cluster 1784,195.2027.peg.1156
Cluster 1785,195.2039.peg.1452
Cluster 1786,195.2048.peg.1143
Cluster 1787,195.2056.peg.1
Cluster 1788,195.2063.peg.946
Cluster 1789,195.2090.peg.1788
Cluster 1790,195.2233.peg.1845
Cluster 1791,195.2244.peg.1793
Cluster 1792,195.2024.peg.313
Cluster 1793,195.2024.peg.937
Cluster 1794,195.2024.peg.1356
Cluster 1795,195.2032.peg.1314
Cluster 1796,195.2046.peg.1639
Cluster 1797,195.2051.peg.4
Cluster 1798,195.2125.peg.522
Cluster 1799,195.2144.peg.1816
Cluster 1800,195.2174.peg.1812
Cluster 1801,195.2186.peg.1794
Cluster 1802,195.2233.peg.1857
Cluster 1803,195.2038.peg.1517
Cluster 1804,195.2096.peg.885
Cluster 1805,195.2173.peg.1189
Cluster 1806,195.2227.peg.1498
Cluster 1807,195.2314.peg.1346
Cluster 1808,195.2024.peg.1009
Cluster 1809,195.2024.peg.747
Cluster 1810,195.2024.peg.726
Cluster 1811,195.2034.peg.105
Cluster 1812,195.2039.peg.1697
Cluster 1813,195.2071.peg.1830
Cluster 1814,195.2164.peg.327
Cluster 1815,195.2231.peg.1869
Cluster 1816,195.2283.peg.1572
Cluster 1817,195.2024.peg.503
Cluster 1818,195.2024.peg.1280
Cluster 1819,195.2024.peg.1150
Cluster 1820,195.2024.peg.614
Cluster 1821,195.2051.peg.283
Cluster 1822,195.2060.peg.1540
Cluster 1823,195.2113.peg.1856
Cluster 1824,195.2137.peg.1845
Cluster 1825,195.2151.peg.1068
Cluster 1826,195.2163.peg.1741
Cluster 1827,195.2173.peg.70
Cluster 1828,195.2207.peg.1753
Cluster 1829,195.2024.peg.898
Cluster 1830,195.2024.peg.1293
Cluster 1831,195.2024.peg.1535
Cluster 1832,195.2034.peg.740
Cluster 1833,195.2143.peg.1463
Cluster 1834,195.2024.peg.234
Cluster 1835,195.2024.peg.51
Cluster 1836,195.2024.peg.1571
Cluster 1837,195.2038.peg.388
Cluster 1838,195.2024.peg.1035
Cluster 1839,195.2024.peg.623
Cluster 1840,195.2034.peg.83
Cluster 1841,195.2048.peg.620
Cluster 1842,195.2048.peg.1753
Cluster 1843,195.2089.peg.767
Cluster 1844,195.2118.peg.1350
Cluster 1845,195.2133.peg.1861
Cluster 1846,195.2154.peg.1678
Cluster 1847,195.2157.peg.202
Cluster 1848,195.2210.peg.409
Cluster 1849,195.2254.peg.1606
Cluster 1850,195.2024.peg.1171
Cluster 1851,195.2028.peg.40
Cluster 1852,195.2061.peg.1342
Cluster 1853,195.2086.peg.1751
Cluster 1854,195.2136.peg.1501
Cluster 1855,195.2171.peg.309
Cluster 1856,195.2024.peg.1563
Cluster 1857,195.2024.peg.1061
Cluster 1858,195.2039.peg.1346
Cluster 1859,195.2045.peg.1525
Cluster 1860,195.2054.peg.1797
Cluster 1861,195.2087.peg.1827
Cluster 1862,195.2101.peg.1779
Cluster 1863,195.2180.peg.1539
Cluster 1864,195.2314.peg.1921
Cluster 1865,195.2034.peg.112
Cluster 1866,195.2037.peg.1657
Cluster 1867,195.2046.peg.1138
Cluster 1868,195.2054.peg.1789
Cluster 1869,195.2080.peg.1853
Cluster 1870,195.2120.peg.473
Cluster 1871,195.2133.peg.1581
Cluster 1872,195.2195.peg.1126
Cluster 1873,195.2307.peg.1725
Cluster 1874,195.2024.peg.571
Cluster 1875,195.2024.peg.1162
Cluster 1876,195.2027.peg.87
Cluster 1877,195.2039.peg.1690
Cluster 1878,195.2039.peg.1699
Cluster 1879,195.2048.peg.1824
Cluster 1880,195.2130.peg.1809
Cluster 1881,195.2143.peg.1803
Cluster 1882,195.2144.peg.1807
Cluster 1883,195.2201.peg.1744
Cluster 1884,195.2024.peg.86
Cluster 1885,195.2031.peg.1752
Cluster 1886,195.2038.peg.389
Cluster 1887,195.2175.peg.1776
Cluster 1888,195.2186.peg.1752
Cluster 1889,195.2233.peg.1650
Cluster 1890,195.2288.peg.1811
Cluster 1891,195.2024.peg.636
Cluster 1892,195.2024.peg.683
Cluster 1893,195.2040.peg.38
Cluster 1894,195.2057.peg.1460
Cluster 1895,195.2063.peg.1765
Cluster 1896,195.2130.peg.1810
Cluster 1897,195.2140.peg.383
Cluster 1898,195.2196.peg.1555
Cluster 1899,195.2205.peg.1753
Cluster 1900,195.2219.peg.394
Cluster 1901,195.2238.peg.764
Cluster 1902,195.2244.peg.1711
Cluster 1903,195.2255.peg.1555
Cluster 1904,195.2024.peg.458
Cluster 1905,195.2024.peg.1574
Cluster 1906,195.2024.peg.1314
Cluster 1907,195.2024.peg.951
Cluster 1908,195.2024.peg.984
Cluster 1909,195.2034.peg.652
Cluster 1910,195.2153.peg.1843
Cluster 1911,195.2155.peg.1773
Cluster 1912,195.2172.peg.1836
Cluster 1913,195.2233.peg.1628
Cluster 1914,195.2233.peg.1873
Cluster 1915,195.2248.peg.1653
Cluster 1916,195.2315.peg.1663
Cluster 1917,195.2024.peg.639
Cluster 1918,195.2024.peg.362
Cluster 1919,195.2024.peg.191
Cluster 1920,195.2027.peg.1590
Cluster 1921,195.2061.peg.998
Cluster 1922,195.2063.peg.1812
Cluster 1923,195.2244.peg.1424
Cluster 1924,195.2024.peg.347
Cluster 1925,195.2024.peg.931
Cluster 1926,195.2024.peg.1379
Cluster 1927,195.2024.peg.45
Cluster 1928,195.2024.peg.300
Cluster 1929,195.2026.peg.1244
Cluster 1930,195.2032.peg.554
Cluster 1931,195.2040.peg.1832
Cluster 1932,195.2063.peg.1229
Cluster 1933,195.2063.peg.1758
Cluster 1934,195.2096.peg.1062
Cluster 1935,195.2144.peg.1768
Cluster 1936,195.2196.peg.1788
Cluster 1937,195.2244.peg.1547
Cluster 1938,195.2269.peg.1398
Cluster 1939,195.2299.peg.1892
Cluster 1940,195.2024.peg.1540
Cluster 1941,195.2024.peg.1442
Cluster 1942,195.2024.peg.1654
Cluster 1943,195.2144.peg.175
Cluster 1944,195.2144.peg.1821
Cluster 1945,195.2144.peg.1668
Cluster 1946,195.2199.peg.1038
Cluster 1947,195.2260.peg.1475
Cluster 1948,195.2024.peg.424
Cluster 1949,195.2024.peg.1177
Cluster 1950,195.2024.peg.1286
Cluster 1951,195.2024.peg.627
Cluster 1952,195.2176.peg.300
Cluster 1953,195.2188.peg.1799
Cluster 1954,195.2200.peg.170
Cluster 1955,195.2264.peg.1658
Cluster 1956,195.2024.peg.139
Cluster 1957,195.2026.peg.1285
Cluster 1958,195.2047.peg.1730
Cluster 1959,195.2049.peg.1842
Cluster 1960,195.2056.peg.599
Cluster 1961,195.2095.peg.121
Cluster 1962,195.2110.peg.140
Cluster 1963,195.2146.peg.1807
Cluster 1964,195.2199.peg.1816
Cluster 1965,195.2201.peg.1751
Cluster 1966,195.2286.peg.1423
Cluster 1967,195.2024.peg.1709
Cluster 1968,195.2024.peg.1390
Cluster 1969,195.2053.peg.1390
Cluster 1970,195.2065.peg.1295
Cluster 1971,195.2210.peg.405
Cluster 1972,195.2226.peg.1424
Cluster 1973,195.2237.peg.1698
Cluster 1974,195.2262.peg.1803
Cluster 1975,195.2290.peg.1211
Cluster 1976,195.2314.peg.1873
Cluster 1977,195.2024.peg.1206
Cluster 1978,195.2024.peg.1053
Cluster 1979,195.2024.peg.1190
Cluster 1980,195.2024.peg.991
Cluster 1981,195.2024.peg.1026
Cluster 1982,195.2025.peg.1654
Cluster 1983,195.2128.peg.1180
Cluster 1984,195.2151.peg.177
Cluster 1985,195.2184.peg.1791
Cluster 1986,195.2024.peg.207
Cluster 1987,195.2024.peg.581
Cluster 1988,195.2024.peg.1121
Cluster 1989,195.2024.peg.311
Cluster 1990,195.2033.peg.1754
Cluster 1991,195.2039.peg.882
Cluster 1992,195.2048.peg.70
Cluster 1993,195.2210.peg.407
Cluster 1994,195.2244.peg.1672
Cluster 1995,195.2314.peg.1922
Cluster 1996,195.2024.peg.254
Cluster 1997,195.2024.peg.1024
Cluster 1998,195.2025.peg.948
Cluster 1999,195.2027.peg.1535
Cluster 2000,195.2036.peg.933
Cluster 2001,195.2038.peg.135
Cluster 2002,195.2102.peg.1582
Cluster 2003,195.2121.peg.641
Cluster 2004,195.2174.peg.1616
Cluster 2005,195.2208.peg.1566
Cluster 2006,195.2273.peg.1738
Cluster 2007,195.2308.peg.947
Cluster 2008,195.2024.peg.813
Cluster 2009,195.2024.peg.532
Cluster 2010,195.2024.peg.552
Cluster 2011,195.2024.peg.1173
Cluster 2012,195.2024.peg.72
Cluster 2013,195.2047.peg.1836
Cluster 2014,195.2084.peg.811
Cluster 2015,195.2116.peg.758
Cluster 2016,195.2121.peg.637
Cluster 2017,195.2148.peg.1660
Cluster 2018,195.2174.peg.1837
Cluster 2019,195.2201.peg.1309
Cluster 2020,195.2201.peg.837
Cluster 2021,195.2250.peg.1771
Cluster 2022,195.2286.peg.1707
Cluster 2023,195.2024.peg.1710
Cluster 2024,195.2069.peg.1780
Cluster 2025,195.2124.peg.554
Cluster 2026,195.2135.peg.1844
Cluster 2027,195.2187.peg.1813
Cluster 2028,195.2311.peg.1842
Cluster 2029,195.2024.peg.990
Cluster 2030,195.2024.peg.634
Cluster 2031,195.2024.peg.380
Cluster 2032,195.2063.peg.1927
Cluster 2033,195.2166.peg.1386
Cluster 2034,195.2182.peg.180
Cluster 2035,195.2206.peg.338
Cluster 2036,195.2206.peg.1278
Cluster 2037,195.2263.peg.1040
Cluster 2038,195.2024.peg.1659
Cluster 2039,195.2024.peg.314
Cluster 2040,195.2024.peg.1149
Cluster 2041,195.2027.peg.1167
Cluster 2042,195.2048.peg.1134
Cluster 2043,195.2086.peg.1778
Cluster 2044,195.2089.peg.777
Cluster 2045,195.2118.peg.1349
Cluster 2046,195.2187.peg.1766
Cluster 2047,195.2231.peg.1910
Cluster 2048,195.2232.peg.513
Cluster 2049,195.2249.peg.754
Cluster 2050,195.2290.peg.946
Cluster 2051,195.2294.peg.522
Cluster 2052,195.2315.peg.1133
Cluster 2053,195.2024.peg.876
Cluster 2054,195.2024.peg.492
Cluster 2055,195.2024.peg.1071
Cluster 2056,195.2024.peg.1638
Cluster 2057,195.2163.peg.1786
Cluster 2058,195.2199.peg.796
Cluster 2059,195.2024.peg.19
Cluster 2060,195.2024.peg.547
Cluster 2061,195.2026.peg.1254
Cluster 2062,195.2055.peg.1540
Cluster 2063,195.2155.peg.119
Cluster 2064,195.2185.peg.1684
Cluster 2065,195.2248.peg.1554
Cluster 2066,195.2316.peg.1139
Cluster 2067,195.2024.peg.1490
Cluster 2068,195.2027.peg.170
Cluster 2069,195.2069.peg.1182
Cluster 2070,195.2092.peg.1177
Cluster 2071,195.2144.peg.1770
Cluster 2072,195.2218.peg.1769
Cluster 2073,195.2220.peg.1714
Cluster 2074,195.2024.peg.138
Cluster 2075,195.2024.peg.1014
Cluster 2076,195.2026.peg.1399
Cluster 2077,195.2033.peg.1314
Cluster 2078,195.2184.peg.1828
Cluster 2079,195.2024.peg.310
Cluster 2080,195.2024.peg.1701
Cluster 2081,195.2025.peg.1543
Cluster 2082,195.2026.peg.269
Cluster 2083,195.2122.peg.1027
Cluster 2084,195.2270.peg.1031
Cluster 2085,195.2024.peg.1203
Cluster 2086,195.2024.peg.1489
Cluster 2087,195.2024.peg.225
Cluster 2088,195.2024.peg.306
Cluster 2089,195.2053.peg.1062
Cluster 2090,195.2087.peg.674
Cluster 2091,195.2144.peg.1817
Cluster 2092,195.2175.peg.596
Cluster 2093,195.2187.peg.1923
Cluster 2094,195.2237.peg.1789
Cluster 2095,195.2024.peg.631
Cluster 2096,195.2054.peg.1683
Cluster 2097,195.2089.peg.1467
Cluster 2098,195.2125.peg.1700
Cluster 2099,195.2157.peg.1665
Cluster 2100,195.2161.peg.396
Cluster 2101,195.2172.peg.1691
Cluster 2102,195.2254.peg.1944
Cluster 2103,195.2273.peg.819
Cluster 2104,195.2024.peg.1031
Cluster 2105,195.2024.peg.1504
Cluster 2106,195.2028.peg.1757
Cluster 2107,195.2063.peg.162
Cluster 2108,195.2063.peg.1936
Cluster 2109,195.2066.peg.1800
Cluster 2110,195.2100.peg.1587
Cluster 2111,195.2144.peg.1799
Cluster 2112,195.2199.peg.1855
Cluster 2113,195.2024.peg.1289
Cluster 2114,195.2024.peg.466
Cluster 2115,195.2024.peg.1066
Cluster 2116,195.2024.peg.1620
Cluster 2117,195.2024.peg.78
Cluster 2118,195.2024.peg.1438
Cluster 2119,195.2026.peg.1406
Cluster 2120,195.2026.peg.1201
Cluster 2121,195.2033.peg.1135
Cluster 2122,195.2033.peg.1736
Cluster 2123,195.2055.peg.1614
Cluster 2124,195.2080.peg.1834
Cluster 2125,195.2140.peg.1735
Cluster 2126,195.2145.peg.1664
Cluster 2127,195.2182.peg.1889
Cluster 2128,195.2192.peg.1977
Cluster 2129,195.2210.peg.419
Cluster 2130,195.2255.peg.891
Cluster 2131,195.2024.peg.255
Cluster 2132,195.2024.peg.1058
Cluster 2133,195.2024.peg.390
Cluster 2134,195.2024.peg.1079
Cluster 2135,195.2024.peg.1663
Cluster 2136,195.2029.peg.1228
Cluster 2137,195.2056.peg.1797
Cluster 2138,195.2175.peg.1277
Cluster 2139,195.2191.peg.1212
Cluster 2140,195.2254.peg.1754
Cluster 2141,195.2024.peg.1596
Cluster 2142,195.2061.peg.1333
Cluster 2143,195.2097.peg.1127
Cluster 2144,195.2133.peg.1518
Cluster 2145,195.2144.peg.1772
Cluster 2146,195.2152.peg.1633
Cluster 2147,195.2152.peg.1931
Cluster 2148,195.2299.peg.623
Cluster 2149,195.2311.peg.1686
Cluster 2150,195.2024.peg.28
Cluster 2151,195.2024.peg.1098
Cluster 2152,195.2024.peg.1226
Cluster 2153,195.2034.peg.230
Cluster 2154,195.2056.peg.1815
Cluster 2155,195.2065.peg.1709
Cluster 2156,195.2117.peg.976
Cluster 2157,195.2313.peg.1873
Cluster 2158,195.2024.peg.1028
Cluster 2159,195.2024.peg.790
Cluster 2160,195.2069.peg.1815
Cluster 2161,195.2120.peg.462
Cluster 2162,195.2148.peg.214
Cluster 2163,195.2221.peg.634
Cluster 2164,195.2024.peg.921
Cluster 2165,195.2024.peg.1001
Cluster 2166,195.2024.peg.1204
Cluster 2167,195.2024.peg.1554
Cluster 2168,195.2024.peg.445
Cluster 2169,195.2028.peg.13
Cluster 2170,195.2130.peg.1753
Cluster 2171,195.2170.peg.1658
Cluster 2172,195.2212.peg.1279
Cluster 2173,195.2240.peg.1810
Cluster 2174,195.2024.peg.1283
Cluster 2175,195.2024.peg.353
Cluster 2176,195.2024.peg.384
Cluster 2177,195.2024.peg.846
Cluster 2178,195.2039.peg.1688
Cluster 2179,195.2045.peg.1065
Cluster 2180,195.2057.peg.152
Cluster 2181,195.2130.peg.1777
Cluster 2182,195.2144.peg.273
Cluster 2183,195.2158.peg.1761
Cluster 2184,195.2172.peg.1851
Cluster 2185,195.2220.peg.1747
Cluster 2186,195.2024.peg.211
Cluster 2187,195.2031.peg.641
Cluster 2188,195.2055.peg.733
Cluster 2189,195.2058.peg.1399
Cluster 2190,195.2063.peg.1520
Cluster 2191,195.2165.peg.167
Cluster 2192,195.2169.peg.1756
Cluster 2193,195.2249.peg.1779
Cluster 2194,195.2259.peg.278
Cluster 2195,195.2024.peg.414
Cluster 2196,195.2024.peg.1315
Cluster 2197,195.2028.peg.1302
Cluster 2198,195.2031.peg.899
Cluster 2199,195.2034.peg.109
Cluster 2200,195.2039.peg.100
Cluster 2201,195.2046.peg.1708
Cluster 2202,195.2048.peg.1415
Cluster 2203,195.2082.peg.1794
Cluster 2204,195.2085.peg.1675
Cluster 2205,195.2094.peg.1416
Cluster 2206,195.2136.peg.1820
Cluster 2207,195.2144.peg.1830
Cluster 2208,195.2212.peg.1454
Cluster 2209,195.2024.peg.186
Cluster 2210,195.2024.peg.544
Cluster 2211,195.2024.peg.499
Cluster 2212,195.2024.peg.1292
Cluster 2213,195.2024.peg.1605
Cluster 2214,195.2053.peg.1721
Cluster 2215,195.2059.peg.836
Cluster 2216,195.2080.peg.1
Cluster 2217,195.2100.peg.201
Cluster 2218,195.2110.peg.203
Cluster 2219,195.2144.peg.1834
Cluster 2220,195.2231.peg.1822
Cluster 2221,195.2262.peg.1799
Cluster 2222,195.2308.peg.1788
Cluster 2223,195.2024.peg.925
Cluster 2224,195.2051.peg.1776
Cluster 2225,195.2053.peg.783
Cluster 2226,195.2061.peg.165
Cluster 2227,195.2179.peg.820
Cluster 2228,195.2196.peg.840
Cluster 2229,195.2024.peg.602
Cluster 2230,195.2024.peg.318
Cluster 2231,195.2024.peg.1004
Cluster 2232,195.2024.peg.1015
Cluster 2233,195.2024.peg.1399
Cluster 2234,195.2031.peg.1547
Cluster 2235,195.2116.peg.185
Cluster 2236,195.2120.peg.1050
Cluster 2237,195.2130.peg.1814
Cluster 2238,195.2134.peg.1783
Cluster 2239,195.2156.peg.324
Cluster 2240,195.2286.peg.1817
Cluster 2241,195.2307.peg.1675
Cluster 2242,195.2312.peg.1751
Cluster 2243,195.2024.peg.1192
Cluster 2244,195.2024.peg.297
Cluster 2245,195.2026.peg.718
Cluster 2246,195.2039.peg.196
Cluster 2247,195.2054.peg.1718
Cluster 2248,195.2061.peg.1711
Cluster 2249,195.2093.peg.1639
Cluster 2250,195.2110.peg.1723
Cluster 2251,195.2114.peg.606
Cluster 2252,195.2132.peg.1253
Cluster 2253,195.2141.peg.1846
Cluster 2254,195.2144.peg.1662
Cluster 2255,195.2174.peg.1825
Cluster 2256,195.2225.peg.1732
Cluster 2257,195.2295.peg.1854
Cluster 2258,195.2024.peg.949
Cluster 2259,195.2024.peg.474
Cluster 2260,195.2024.peg.1498
Cluster 2261,195.2029.peg.1790
Cluster 2262,195.2034.peg.786
Cluster 2263,195.2040.peg.1795
Cluster 2264,195.2051.peg.284
Cluster 2265,195.2053.peg.1825
Cluster 2266,195.2118.peg.1674
Cluster 2267,195.2152.peg.1649
Cluster 2268,195.2196.peg.1789
Cluster 2269,195.2223.peg.713
Cluster 2270,195.2025.peg.1558
Cluster 2271,195.2031.peg.1559
Cluster 2272,195.2063.peg.1454
Cluster 2273,195.2064.peg.1502
Cluster 2274,195.2092.peg.1226
Cluster 2275,195.2128.peg.741
Cluster 2276,195.2170.peg.1253
Cluster 2277,195.2172.peg.1579
Cluster 2278,195.2174.peg.222
Cluster 2279,195.2174.peg.1839
Cluster 2280,195.2185.peg.1415
Cluster 2281,195.2241.peg.416
Cluster 2282,195.2241.peg.281
Cluster 2283,195.2286.peg.522
Cluster 2284,195.2024.peg.677
Cluster 2285,195.2031.peg.1549
Cluster 2286,195.2038.peg.624
Cluster 2287,195.2092.peg.1571
Cluster 2288,195.2201.peg.1719
Cluster 2289,195.2244.peg.1876
Cluster 2290,195.2313.peg.1748
Cluster 2291,195.2024.peg.285
Cluster 2292,195.2024.peg.1313
Cluster 2293,195.2024.peg.498
Cluster 2294,195.2024.peg.1167
Cluster 2295,195.2024.peg.1591
Cluster 2296,195.2024.peg.238
Cluster 2297,195.2024.peg.1260
Cluster 2298,195.2024.peg.1350
Cluster 2299,195.2031.peg.448
Cluster 2300,195.2045.peg.1512
Cluster 2301,195.2086.peg.1619
Cluster 2302,195.2112.peg.1475
Cluster 2303,195.2121.peg.1604
Cluster 2304,195.2217.peg.1058
Cluster 2305,195.2293.peg.1032
Cluster 2306,195.2024.peg.679
Cluster 2307,195.2024.peg.56
Cluster 2308,195.2026.peg.1776
Cluster 2309,195.2033.peg.1733
Cluster 2310,195.2033.peg.116
Cluster 2311,195.2034.peg.20
Cluster 2312,195.2060.peg.18
Cluster 2313,195.2102.peg.1646
Cluster 2314,195.2152.peg.1398
Cluster 2315,195.2173.peg.1445
Cluster 2316,195.2201.peg.1725
Cluster 2317,195.2203.peg.1813
Cluster 2318,195.2221.peg.635
Cluster 2319,195.2315.peg.1108
Cluster 2320,195.2024.peg.1316
Cluster 2321,195.2024.peg.1059
Cluster 2322,195.2024.peg.1252
Cluster 2323,195.2040.peg.40
Cluster 2324,195.2112.peg.1431
Cluster 2325,195.2113.peg.354
Cluster 2326,195.2158.peg.353
Cluster 2327,195.2226.peg.1793
Cluster 2328,195.2237.peg.228
Cluster 2329,195.2024.peg.836
Cluster 2330,195.2024.peg.1565
Cluster 2331,195.2045.peg.1798
Cluster 2332,195.2061.peg.1526
Cluster 2333,195.2063.peg.954
Cluster 2334,195.2144.peg.1818
Cluster 2335,195.2144.peg.1788
Cluster 2336,195.2174.peg.1833
Cluster 2337,195.2174.peg.1587
Cluster 2338,195.2192.peg.9
Cluster 2339,195.2207.peg.1193
Cluster 2340,195.2231.peg.1802
Cluster 2341,195.2267.peg.1747
Cluster 2342,195.2295.peg.1748
Cluster 2343,195.2024.peg.1398
Cluster 2344,195.2024.peg.465
Cluster 2345,195.2024.peg.1539
Cluster 2346,195.2024.peg.54
Cluster 2347,195.2024.peg.158
Cluster 2348,195.2064.peg.1496
Cluster 2349,195.2071.peg.1847
Cluster 2350,195.2087.peg.180
Cluster 2351,195.2121.peg.106
Cluster 2352,195.2157.peg.1663
Cluster 2353,195.2157.peg.1115
Cluster 2354,195.2184.peg.1403
Cluster 2355,195.2201.peg.750
Cluster 2356,195.2204.peg.1712
Cluster 2357,195.2244.peg.1851
Cluster 2358,195.2314.peg.1345
Cluster 2359,195.2024.peg.1048
Cluster 2360,195.2024.peg.1073
Cluster 2361,195.2024.peg.142
Cluster 2362,195.2024.peg.667
Cluster 2363,195.2024.peg.271
Cluster 2364,195.2024.peg.1199
Cluster 2365,195.2024.peg.1577
Cluster 2366,195.2024.peg.1245
Cluster 2367,195.2027.peg.1005
Cluster 2368,195.2031.peg.1552
Cluster 2369,195.2063.peg.1874
Cluster 2370,195.2133.peg.769
Cluster 2371,195.2194.peg.1307
Cluster 2372,195.2202.peg.4
Cluster 2373,195.2223.peg.1804
Cluster 2374,195.2239.peg.20
Cluster 2375,195.2244.peg.1423
Cluster 2376,195.2295.peg.1858
Cluster 2377,195.2024.peg.1575
Cluster 2378,195.2024.peg.1205
Cluster 2379,195.2026.peg.1027
Cluster 2380,195.2042.peg.1775
Cluster 2381,195.2048.peg.92
Cluster 2382,195.2082.peg.1111
Cluster 2383,195.2152.peg.1335
Cluster 2384,195.2152.peg.821
Cluster 2385,195.2244.peg.1703
Cluster 2386,195.2293.peg.1713
Cluster 2387,195.2307.peg.1542
Cluster 2388,195.2024.peg.1704
Cluster 2389,195.2024.peg.103
Cluster 2390,195.2024.peg.1527
Cluster 2391,195.2024.peg.213
Cluster 2392,195.2024.peg.554
Cluster 2393,195.2024.peg.926
Cluster 2394,195.2024.peg.112
Cluster 2395,195.2024.peg.460
Cluster 2396,195.2024.peg.1576
Cluster 2397,195.2024.peg.517
Cluster 2398,195.2024.peg.462
Cluster 2399,195.2024.peg.304
Cluster 2400,195.2033.peg.1896
Cluster 2401,195.2034.peg.654
Cluster 2402,195.2046.peg.1801
Cluster 2403,195.2054.peg.1793
Cluster 2404,195.2086.peg.399
Cluster 2405,195.2122.peg.941
Cluster 2406,195.2138.peg.1062
Cluster 2407,195.2194.peg.1109
Cluster 2408,195.2223.peg.1635
Cluster 2409,195.2287.peg.84
Cluster 2410,195.2299.peg.225
Cluster 2411,195.2024.peg.357
Cluster 2412,195.2024.peg.1384
Cluster 2413,195.2024.peg.1335
Cluster 2414,195.2024.peg.1221
Cluster 2415,195.2024.peg.282
Cluster 2416,195.2033.peg.711
Cluster 2417,195.2085.peg.1424
Cluster 2418,195.2102.peg.1396
Cluster 2419,195.2111.peg.1927
Cluster 2420,195.2125.peg.1238
Cluster 2421,195.2152.peg.1399
Cluster 2422,195.2182.peg.562
Cluster 2423,195.2184.peg.757
Cluster 2424,195.2024.peg.856
Cluster 2425,195.2024.peg.1076
Cluster 2426,195.2024.peg.815
Cluster 2427,195.2024.peg.855
Cluster 2428,195.2024.peg.188
Cluster 2429,195.2024.peg.930
Cluster 2430,195.2026.peg.1391
Cluster 2431,195.2040.peg.1787
Cluster 2432,195.2053.peg.1360
Cluster 2433,195.2114.peg.980
Cluster 2434,195.2144.peg.1836
Cluster 2435,195.2178.peg.1703
Cluster 2436,195.2239.peg.38
Cluster 2437,195.2250.peg.1555
Cluster 2438,195.2305.peg.1793
Cluster 2439,195.2024.peg.684
Cluster 2440,195.2024.peg.514
Cluster 2441,195.2024.peg.1075
Cluster 2442,195.2024.peg.712
Cluster 2443,195.2024.peg.1041
Cluster 2444,195.2024.peg.1103
Cluster 2445,195.2033.peg.144
Cluster 2446,195.2033.peg.196
Cluster 2447,195.2034.peg.1610
Cluster 2448,195.2038.peg.1239
Cluster 2449,195.2044.peg.1519
Cluster 2450,195.2051.peg.291
Cluster 2451,195.2053.peg.1381
Cluster 2452,195.2063.peg.1385
Cluster 2453,195.2130.peg.1112
Cluster 2454,195.2142.peg.1769
Cluster 2455,195.2153.peg.74
Cluster 2456,195.2203.peg.1803
Cluster 2457,195.2254.peg.903
Cluster 2458,195.2301.peg.1822
Cluster 2459,195.2024.peg.1445
Cluster 2460,195.2024.peg.1406
Cluster 2461,195.2024.peg.1645
Cluster 2462,195.2029.peg.1791
Cluster 2463,195.2033.peg.1699
Cluster 2464,195.2065.peg.1155
Cluster 2465,195.2082.peg.128
Cluster 2466,195.2157.peg.513
Cluster 2467,195.2163.peg.905
Cluster 2468,195.2172.peg.1058
Cluster 2469,195.2299.peg.1964
Cluster 2470,195.2024.peg.1395
Cluster 2471,195.2024.peg.748
Cluster 2472,195.2026.peg.1411
Cluster 2473,195.2027.peg.1533
Cluster 2474,195.2038.peg.746
Cluster 2475,195.2060.peg.1212
Cluster 2476,195.2082.peg.224
Cluster 2477,195.2087.peg.1548
Cluster 2478,195.2130.peg.803
Cluster 2479,195.2024.peg.488
Cluster 2480,195.2024.peg.53
Cluster 2481,195.2054.peg.1587
Cluster 2482,195.2065.peg.541
Cluster 2483,195.2113.peg.364
Cluster 2484,195.2121.peg.639
